202,168,140,115,101,83,72,62,51,48,40,36,28,31,25,23,22,25,21,21,19,23,21,17,18,21,21,16,15,21,20,16,20,15,18,20,19,19,13,19,17,18,14,20,19,19,16,18,16,14,17,20,16,16,14,16,16,16,16,19,19,19,15,15,16,18,16,17,16,21,21,21,17,16,16,20,16,17,20,18,16,19,13,18,18,19,20,16,18,17,16,20,17,18,20,19,19,16,16,20,20,20,20,14,20,17,21,21,20,16,16,19,16,18,19,15,18,16,18,16,19,17,17,19,19,16,20,15,20,16,16,16,17,17,19,14,18,18,19,15,18,16,15,19,20,15,16,18,19,19,16,16,18,17,14,20,16,14,20,19,15,19,20,18,16,16,16,19,15,19,18,17,19,16,18,22,21,23,16,18,22,18,21,21,18,18,22,21,16,17,21,21,21,17,21,16,20,19,15,21,17,17,21,16,16,21,21,20,16,20,16,20,18,18,16,19,19,15,20,16,20,16,20,18,19,19,15,16,20,18,16,18,18,19,19,19,16,18,15,19,16,20,14,19,16,20,19,19,13,19,19,17,14,12,14,16
204,171,139,120,100,80,73,59,53,42,38,36,32,28,27,29,27,24,25,24,23,18,22,20,21,17,21,17,19,16,16,16,15,20,20,16,18,16,19,17,17,20,19,16,19,16,15,22,20,19,19,19,20,14,20,15,20,20,17,16,17,17,20,16,20,16,20,20,21,17,17,17,22,16,21,22,17,21,16,19,21,20,21,21,20,21,21,20,21,20,19,20,16,17,16,21,22,22,16,20,19,16,20,17,17,21,16,20,16,20,20,19,16,18,16,16,19,15,17,16,16,16,18,16,16,20,19,15,19,19,16,19,18,14,16,19,19,18,17,17,16,16,16,16,16,14,12,14,20,20,19,19,19,19,14,16,21,17,17,16,18,21,18,17,18,21,21,21,21,16,16,16,16,19,20,20,18,22,18,17,23,17,20,18,21,17,19,18,18,18,22,19,19,19,19,21,22,18,19,23,19,19,18,18,22,20,18,18,19,18,19,18,22,22,21,20,20,16,20,15,21,19,20,19,18,15,16,18,16,16,16,17,21,21,16,16,19,15,16,16,19,20,19,15,19,20,19,16,18,19,20,17,19,18,14,17
204,167,139,121,101,85,68,59,55,49,42,39,34,32,24,27,26,21,21,24,18,23,23,22,18,22,22,17,22,20,20,18,18,18,18,19,19,19,17,18,19,19,19,16,20,18,14,21,21,17,17,21,19,17,20,20,16,16,17,21,21,17,19,20,19,18,22,22,21,19,20,18,23,18,20,22,17,16,20,17,22,22,19,18,19,20,18,23,19,19,23,21,22,17,22,21,18,22,18,16,17,18,22,20,21,20,21,18,20,20,20,15,17,16,21,15,21,20,16,19,15,20,16,18,16,20,16,15,19,16,16,16,19,13,15,20,21,20,18,16,13,19,15,17,16,19,19,19,16,18,19,15,15,17,20,20,16,17,21,17,21,17,17,20,17,21,17,18,17,22,19,18,23,19,23,17,17,23,21,22,18,22,18,21,21,19,18,19,22,20,17,22,21,21,17,21,21,17,19,19,16,20,16,20,16,15,21,17,20,20,16,16,20,16,16,19,17,19,16,19,19,20,15,16,16,16,16,15,16,17,17,16,17,20,17,18,21,18,18,22,20,17,20,17,16,20,15,18,21,18,17,21,20,20,20,20
203,167,139,117,101,84,73,59,55,43,41,38,32,32,28,27,24,23,24,22,19,21,22,23,18,23,19,19,21,17,17,21,21,18,19,19,16,16,20,16,17,16,16,20,16,17,21,16,16,16,17,17,18,18,21,18,24,21,17,22,23,18,22,19,21,19,24,18,18,20,22,19,23,22,23,23,21,22,17,19,19,22,19,22,19,18,22,18,22,23,20,20,20,16,20,20,20,16,15,16,20,20,20,16,16,19,19,15,18,21,17,16,20,19,19,15,17,18,17,17,18,17,20,20,20,15,19,18,19,19,20,16,13,19,19,19,16,18,18,14,14,19,20,20,20,18,15,16,16,20,20,16,16,15,19,17,17,17,18,20,20,21,20,17,17,19,18,22,22,18,23,22,18,20,22,19,19,23,19,23,22,19,23,21,17,22,16,17,19,16,16,21,20,16,21,17,20,19,15,20,20,20,16,19,16,16,19,18,15,19,20,14,21,21,19,20,19,19,14,20,15,16,16,21,16,19,18,16,19,15,16,16,15,16,16,20,21,17,16,16,21,19,16,20,19,16,19,20,16,15,21,21,16,17,19,16
203,167,137,114,95,85,73,60,52,45,40,35,31,28,32,24,23,23,25,20,19,20,24,18,18,21,18,22,17,21,20,15,18,21,17,19,16,20,16,16,19,20,16,16,21,20,17,21,20,16,16,20,17,17,19,14,21,22,15,16,17,20,16,21,20,18,21,17,19,16,16,17,22,21,21,19,16,18,18,18,21,18,18,22,21,21,21,21,21,20,17,13,18,17,18,17,13,18,14,14,17,18,18,21,20,16,20,18,16,21,14,20,16,15,17,16,16,16,18,16,18,20,18,19,18,16,17,18,16,18,17,12,17,18,19,15,15,16,18,15,20,16,16,15,17,18,18,22,21,19,18,21,21,21,20,17,17,20,21,20,16,20,20,15,18,16,18,17,22,19,22,21,20,16,17,22,16,18,20,21,18,16,17,16,17,17,21,16,20,19,15,21,17,20,16,19,19,16,18,16,15,21,16,15,22,17,17,15,18,17,19,20,19,16,15,16,19,16,15,21,19,16,15,14,20,20,19,20,16,19,13,15,21,15,20,20,19,20,15,20,15,16,16,16,19,21,16,20,16,18,18,17,17,18,22,21
200,168,137,112,94,83,67,58,51,48,40,32,29,32,23,25,27,24,18,18,19,24,18,16,17,21,17,20,18,15,17,16,17,16,20,21,20,15,16,21,15,21,21,18,21,21,19,16,18,15,20,16,22,18,19,17,20,17,21,15,17,17,16,21,16,20,20,18,21,21,20,19,16,20,18,20,18,19,15,20,20,19,15,16,20,19,16,15,15,20,20,20,16,14,18,17,19,20,17,15,15,19,16,16,18,18,15,16,19,15,20,16,19,18,12,15,20,15,17,16,18,19,16,17,16,19,15,19,16,19,19,19,16,15,17,19,19,16,20,20,15,16,21,22,20,20,18,18,16,16,20,17,17,20,16,16,18,18,19,16,17,21,19,18,22,17,22,22,21,17,17,21,21,20,15,21,21,16,20,19,14,16,17,16,20,19,20,19,14,19,15,20,16,19,18,19,19,15,18,16,19,15,17,20,16,16,16,20,14,16,20,16,19,18,14,20,16,16,14,19,15,20,17,19,14,20,18,20,21,20,16,20,19,15,20,18,22,17,20,19,20,16,20,14,21,19,16,17,15,17,17,21,16,19,19,19
195,167,135,113,94,85,70,59,54,45,38,37,30,30,28,26,29,27,21,23,21,23,19,23,19,21,23,19,23,23,20,20,20,19,17,21,21,22,19,21,22,18,18,18,21,18,20,21,18,21,22,17,17,22,17,23,18,17,17,18,18,21,21,20,17,22,16,16,17,20,16,20,20,19,19,15,20,14,16,20,16,19,18,14,16,19,19,16,14,16,20,16,18,16,17,14,16,19,16,15,20,16,19,20,18,15,20,20,16,17,13,19,18,15,19,16,14,16,16,20,20,17,15,17,16,19,18,21,17,15,16,21,21,16,16,20,21,20,19,19,16,16,20,18,21,19,16,19,16,21,20,21,19,16,15,18,21,17,16,21,17,21,16,20,15,21,17,17,16,17,20,15,17,20,19,18,20,18,16,16,16,16,19,20,20,16,19,14,16,20,19,16,16,16,16,15,17,16,20,20,20,15,16,16,18,20,16,14,19,20,20,20,14,16,17,20,18,16,15,19,17,16,19,16,21,20,19,19,19,19,16,20,16,16,16,17,20,17,21,17,17,17,21,16,18,23,21,17,17,20,17,17,17,22,21,21
196,164,136,114,93,79,70,59,50,44,40,34,32,34,26,26,28,26,25,24,24,21,22,18,18,19,18,22,20,23,21,18,23,23,18,19,19,23,22,21,17,21,19,22,22,17,18,21,18,21,21,20,17,18,22,18,21,17,21,17,17,21,16,16,19,18,19,20,19,19,19,15,15,16,19,19,16,16,20,19,14,16,20,16,16,18,16,15,20,19,20,18,18,15,19,16,14,18,13,19,16,15,17,15,16,16,16,16,16,19,20,19,15,21,17,18,18,20,15,21,16,18,19,18,18,22,17,17,22,20,18,19,22,17,16,18,19,18,18,19,22,22,18,18,20,19,21,23,20,21,21,21,20,17,18,21,16,20,16,20,20,18,18,19,15,17,16,20,16,19,19,19,18,14,16,19,15,18,19,20,15,16,20,15,21,16,16,19,17,18,18,18,19,14,20,18,15,19,18,16,16,19,18,15,17,16,17,16,16,19,20,16,19,21,16,18,15,19,16,21,16,19,19,18,17,21,16,16,19,17,22,18,20,17,17,16,20,20,19,21,17,16,16,20,20,21,15,17,17,19,22,21,20,20,20,17
197,158,134,115,93,79,70,64,53,45,39,39,32,28,27,26,29,28,26,24,20,19,20,21,20,19,20,24,20,19,20,23,18,23,24,22,19,19,23,19,18,24,22,18,23,21,19,16,17,20,18,17,16,21,17,20,19,17,20,18,20,20,15,16,20,16,16,15,18,16,16,18,16,19,16,18,19,20,19,15,16,20,19,18,18,18,18,19,16,14,19,19,14,16,16,18,19,14,16,16,16,18,20,19,14,17,18,16,19,15,19,19,15,20,16,20,20,16,16,16,16,21,18,15,17,17,21,20,21,17,20,21,21,20,16,20,19,20,17,16,22,16,16,20,17,17,18,20,16,17,19,20,20,16,20,16,16,19,14,20,20,20,19,15,16,15,17,16,16,15,21,17,20,18,18,16,19,15,15,16,16,19,16,14,17,21,17,15,20,19,16,19,18,14,16,20,21,15,17,14,19,16,19,18,17,17,14,18,13,16,21,20,15,15,20,16,16,20,20,17,16,16,19,18,18,18,22,18,21,19,18,20,22,22,20,18,18,17,18,22,18,22,21,21,20,20,17,22,16,21,16,20,16,16,20,16
191,164,132,115,95,78,71,58,51,46,40,39,33,29,26,26,24,23,26,23,23,25,25,19,21,24,22,19,18,22,19,23,22,22,18,22,17,17,20,20,24,20,21,16,20,15,16,24,20,19,19,16,16,19,19,16,15,20,16,20,20,16,15,16,16,15,16,16,21,16,17,16,19,18,15,21,16,19,15,16,16,20,16,20,18,19,16,19,14,16,17,16,19,18,13,17,14,16,16,15,18,16,20,20,19,19,15,21,16,19,15,16,17,20,14,17,19,18,17,17,16,20,21,15,16,19,20,16,17,16,20,17,22,20,16,21,17,20,21,20,16,16,16,15,20,16,16,20,15,16,19,16,20,20,14,16,20,16,15,16,17,20,20,18,14,19,18,16,16,18,15,16,18,16,16,16,16,19,18,17,18,18,14,19,15,19,16,17,19,14,15,17,21,21,19,16,19,14,20,19,17,16,15,20,19,16,16,16,18,18,16,20,19,21,19,16,17,20,13,16,21,18,20,16,19,16,16,19,16,20,16,16,16,19,16,22,20,17,16,18,20,20,17,20,17,17,21,17,15,22,20,19,19,15,16,17
191,161,137,114,98,82,66,62,53,45,39,38,36,30,29,28,26,28,28,23,25,21,21,19,24,20,19,20,20,23,19,22,23,19,19,18,19,19,18,18,22,19,18,17,17,17,17,20,16,16,16,20,16,14,16,16,17,15,21,14,16,16,17,22,19,20,18,14,19,16,16,19,18,15,19,17,16,15,15,20,16,17,20,17,16,16,19,17,20,19,19,16,19,14,20,19,21,19,18,17,18,18,15,20,20,17,19,16,19,17,20,17,21,18,19,19,19,20,18,16,14,21,21,17,20,20,19,16,16,15,22,18,16,20,16,21,20,16,21,18,18,21,17,21,17,17,17,21,16,19,20,21,16,15,19,15,18,20,15,21,16,22,20,15,20,17,17,16,19,20,16,19,16,15,21,20,16,20,19,16,19,19,15,16,16,20,16,15,17,20,15,16,16,15,21,21,21,16,15,17,21,17,21,20,20,16,20,16,20,20,21,20,19,16,17,21,16,21,16,19,17,20,20,16,16,21,16,18,21,17,17,19,21,18,21,21,21,20,19,20,16,19,20,20,16,16,16,21,20,16,17,17,20,19,19,16
192,162,138,112,95,81,69,65,56,48,38,35,32,32,29,29,22,23,22,24,25,20,24,20,22,22,19,20,19,19,22,22,20,18,23,22,21,21,16,20,20,20,21,16,16,16,19,19,16,16,20,18,18,15,21,19,21,18,14,20,18,20,19,16,14,17,14,19,17,16,16,18,15,20,19,20,18,14,17,21,17,21,16,16,21,18,16,20,16,16,17,19,18,16,16,17,17,16,17,18,20,22,17,21,19,18,17,17,22,19,22,18,17,21,22,20,16,22,20,21,21,16,16,17,22,19,17,20,16,17,21,17,21,19,19,20,16,14,17,16,16,19,19,20,18,16,19,18,18,18,18,18,19,14,14,14,20,20,18,16,19,15,19,15,16,16,19,20,16,19,18,19,16,19,14,18,16,20,17,17,15,20,14,20,15,20,18,16,15,16,17,17,16,20,16,20,19,19,16,15,19,22,17,20,18,17,19,16,15,16,14,19,21,21,16,20,20,20,16,15,18,21,19,20,19,16,16,20,17,16,16,16,21,19,16,19,19,17,19,15,19,16,16,20,14,19,16,16,16,16,19,20,19,15,16,18
194,164,135,114,100,80,71,60,53,44,40,39,35,29,32,28,23,26,22,26,20,22,21,23,22,23,17,21,17,21,20,20,15,18,18,21,17,17,21,18,19,19,15,16,16,15,17,20,20,20,19,16,18,16,18,20,19,20,18,14,15,18,18,17,19,16,15,16,16,20,19,14,19,19,15,21,15,17,18,20,17,17,21,17,17,20,20,19,20,14,16,18,18,22,16,22,21,18,18,21,17,20,21,20,19,20,16,20,20,17,16,19,16,16,16,16,20,20,17,20,17,16,21,19,20,16,17,20,19,18,17,14,20,16,20,19,16,16,15,21,20,16,15,16,16,16,20,16,20,14,16,20,20,20,17,18,14,16,19,18,19,19,14,15,16,20,19,15,18,13,16,20,15,19,14,16,21,17,17,15,21,19,19,15,20,16,16,17,20,17,17,20,16,16,15,18,19,20,17,21,20,22,22,22,17,17,17,21,20,17,19,19,20,16,20,20,20,15,20,18,15,22,18,21,20,20,19,19,18,15,16,16,16,16,16,16,20,20,15,16,16,20,16,17,16,15,16,16,20,16,20,15,20,17,18,19
197,166,138,119,97,82,71,61,53,51,42,36,35,32,31,30,28,23,22,26,22,20,22,21,25,20,20,23,18,23,18,18,22,22,19,18,17,22,18,21,21,20,16,21,15,18,17,16,19,21,19,17,15,20,15,16,16,16,19,20,19,16,20,19,19,19,14,17,17,17,20,20,19,16,19,16,19,17,20,20,18,16,20,15,21,18,17,22,22,17,17,17,18,23,18,22,22,18,19,18,24,22,22,22,21,21,18,22,19,18,17,22,23,23,22,21,21,21,17,16,20,20,16,19,14,21,17,20,19,16,19,14,15,16,16,16,21,20,14,20,19,16,15,20,16,15,17,17,17,16,19,19,15,17,19,16,20,16,14,21,18,16,17,21,16,16,16,16,16,17,17,16,20,20,16,16,18,16,20,16,20,16,16,17,16,17,17,17,18,17,19,22,18,18,21,20,22,18,24,22,16,21,18,18,21,22,19,22,20,17,21,22,22,18,20,21,21,21,16,16,20,18,16,16,21,21,16,19,19,16,16,16,16,18,20,16,16,16,18,16,19,17,19,15,16,19,17,18,19,19,19,15,19,16,20,19
198,170,137,119,100,85,70,60,54,46,41,38,38,33,28,26,25,27,26,22,25,25,23,23,18,22,18,20,23,21,18,21,17,16,21,21,19,19,19,15,19,20,14,20,15,17,16,16,19,22,15,21,20,17,19,16,21,19,20,20,19,20,18,16,20,16,16,16,16,20,16,20,15,16,18,18,22,19,23,20,18,24,18,23,19,18,18,21,23,19,22,19,23,22,19,18,22,19,19,22,23,17,23,19,20,21,21,20,17,17,22,17,21,21,17,16,17,20,21,21,20,19,15,17,21,16,19,16,17,16,15,20,17,20,20,18,19,19,15,19,18,14,16,18,16,18,16,20,17,14,20,20,19,20,16,15,20,16,20,18,17,20,16,19,17,18,18,15,16,17,19,15,20,14,18,21,19,18,22,18,23,24,22,19,22,17,18,22,18,18,19,22,19,20,23,19,23,22,23,19,21,20,21,18,21,21,21,22,17,17,17,17,20,20,20,16,16,20,17,20,19,15,21,17,20,16,16,16,20,16,20,16,19,19,20,18,16,16,17,18,19,14,19,20,19,19,18,16,16,14,19,20,19,19,18,17
203,171,138,115,99,84,71,59,51,44,43,38,31,34,30,28,22,23,23,22,23,24,21,18,18,22,17,16,21,16,17,16,15,20,16,16,18,18,16,19,19,16,13,18,20,16,17,14,18,20,16,19,20,19,19,16,19,15,17,19,19,14,15,20,20,20,19,20,17,20,16,18,21,20,17,22,19,15,20,21,22,18,17,18,18,18,19,18,23,19,18,21,17,18,22,19,17,21,17,17,21,20,20,16,20,19,14,20,19,16,16,15,16,20,20,20,15,20,18,19,16,19,19,19,19,15,18,16,18,13,18,19,14,16,18,19,19,19,17,16,16,15,17,13,14,18,18,16,21,20,16,19,16,14,21,16,16,20,16,16,16,16,19,16,19,21,15,21,20,16,17,16,20,20,17,20,18,17,17,22,21,16,20,17,16,20,16,18,17,18,18,22,23,18,18,22,20,22,18,21,17,21,17,17,17,21,15,18,16,20,17,19,16,20,16,19,18,18,14,19,16,16,20,16,18,18,19,16,16,18,19,18,18,18,16,15,19,18,18,19,16,14,18,16,15,21,20,20,17,18,19,15,16,20,20,19
200,167,143,116,100,85,72,63,49,47,38,37,34,27,30,23,23,22,22,26,20,20,18,19,19,18,18,18,21,16,15,21,20,19,20,15,15,21,17,18,21,21,20,20,20,16,16,17,19,15,16,14,16,19,16,18,14,16,20,20,16,19,16,16,20,15,16,17,16,16,20,15,21,17,21,16,16,22,21,20,20,19,20,16,20,19,19,19,17,16,16,15,20,20,21,16,14,20,16,16,16,19,20,20,20,19,19,15,16,16,19,20,16,16,19,15,16,20,20,14,17,16,20,18,21,19,19,17,19,16,16,15,16,19,15,20,16,20,19,20,14,19,16,16,16,19,14,20,15,18,16,20,20,20,16,17,14,19,20,16,17,18,19,18,16,20,18,19,20,15,19,17,21,17,20,20,16,19,17,16,18,15,16,20,19,16,19,17,20,16,16,16,21,21,20,21,19,16,19,15,17,15,20,17,20,16,16,17,17,17,15,16,16,21,20,16,19,17,19,15,19,19,19,17,15,13,16,20,19,19,19,18,19,18,18,17,17,16,16,17,14,19,16,16,14,14,19,20,14,20,19,16,19,19,19,18
197,166,142,116,100,85,69,63,50,46,40,38,32,32,24,28,26,26,23,24,22,21,17,21,17,18,19,16,19,14,21,21,19,19,18,15,20,16,16,18,17,17,20,16,20,18,16,16,15,21,21,20,20,15,22,17,16,19,19,21,17,16,16,16,16,22,17,21,17,20,18,20,17,20,20,17,16,21,16,16,20,20,20,16,15,21,17,18,21,22,20,16,20,19,19,20,20,19,15,20,16,20,16,15,17,17,20,16,18,16,16,16,16,19,15,21,15,20,16,17,20,16,16,18,20,19,19,14,16,16,20,16,20,19,19,16,16,16,18,16,19,19,16,15,20,16,17,17,16,18,21,16,17,21,18,17,18,18,20,17,18,20,17,16,21,16,20,20,15,18,19,17,22,18,18,18,22,22,18,23,18,22,22,21,22,17,22,22,17,21,20,20,21,16,17,21,20,20,16,20,20,19,15,16,16,16,20,17,14,17,16,19,19,16,16,16,20,16,15,18,18,17,19,20,16,15,21,21,20,16,18,16,16,20,16,15,20,17,16,20,15,16,16,17,20,16,20,20,14,19,16,16,20,17,17,18
200,166,141,117,99,79,68,58,52,44,40,40,34,28,31,30,27,22,25,21,20,23,22,22,19,22,18,18,22,22,21,21,18,17,20,17,17,20,17,16,19,21,21,21,16,17,17,18,18,17,18,19,23,23,22,18,17,21,22,22,22,18,19,23,22,18,22,19,22,19,18,22,18,22,19,19,19,22,18,18,23,22,18,23,22,18,17,18,22,21,22,18,17,17,17,16,17,20,16,16,20,16,15,20,19,20,20,18,18,19,16,19,15,20,17,15,19,15,18,21,19,15,15,21,16,16,15,17,17,18,17,21,19,20,16,16,19,18,15,17,16,16,20,21,21,20,20,20,16,20,18,21,15,22,17,17,16,21,22,17,18,18,18,18,19,22,19,19,22,19,20,22,19,19,20,18,22,18,23,18,22,22,22,17,20,20,20,17,20,16,19,16,19,16,16,19,20,16,20,18,15,21,16,19,16,15,17,17,22,18,20,17,16,16,20,16,16,18,16,20,16,20,17,20,19,19,17,16,16,19,20,19,19,16,19,19,15,16,16,19,20,19,20,18,18,16,20,20,19,16,15,17,18,19,20,16
198,169,141,113,99,79,68,64,54,47,38,36,35,32,25,28,26,25,20,19,20,20,24,17,22,21,17,22,22,17,21,16,20,21,18,21,21,20,17,20,18,21,18,21,18,19,17,22,19,18,22,18,23,19,18,18,22,18,23,23,18,18,23,19,19,20,18,19,19,20,19,23,22,19,18,22,18,19,23,18,17,18,18,19,19,18,22,18,18,22,21,20,16,20,16,20,19,18,16,16,16,19,18,19,17,16,16,16,20,18,16,18,21,21,20,16,20,19,20,17,16,15,15,21,16,18,17,19,20,16,19,19,19,15,16,20,20,15,17,20,20,19,16,16,16,19,17,21,18,21,19,17,17,19,22,21,21,17,20,17,20,21,20,16,19,15,21,17,16,16,20,21,16,21,18,16,16,20,20,19,15,20,19,20,19,19,15,16,20,15,17,17,20,19,15,19,19,18,20,18,15,20,16,18,19,15,20,19,20,18,15,20,19,16,15,16,20,20,21,18,18,19,18,16,15,16,16,20,19,16,16,20,19,15,19,16,16,20,16,19,20,17,16,19,16,14,18,21,21,17,21,17,21,21,17,16
199,168,138,116,96,81,71,58,53,43,42,36,33,30,30,24,24,23,24,21,21,23,22,22,18,22,21,19,17,22,21,20,16,21,21,18,21,19,20,20,16,17,16,21,16,18,18,18,18,24,21,18,21,18,18,22,19,18,22,20,19,23,21,16,16,22,21,20,20,15,17,21,15,17,16,16,20,16,16,16,21,20,16,19,16,20,18,14,16,15,16,20,20,17,17,19,16,14,16,16,19,15,19,20,19,19,19,15,19,16,19,13,16,20,20,19,16,15,19,16,19,16,19,16,16,20,14,20,16,19,18,16,16,16,17,17,17,16,22,21,20,20,16,18,20,22,15,18,17,21,22,21,21,18,18,18,21,20,22,17,21,17,19,20,16,19,15,21,16,16,16,18,16,19,20,20,18,15,20,16,19,15,16,16,17,18,20,16,15,21,15,20,20,16,21,19,15,19,16,17,20,16,19,19,19,14,19,20,15,19,15,20,20,16,20,19,15,16,16,21,19,19,19,19,19,18,19,15,16,19,16,19,15,20,20,16,15,20,15,16,22,20,19,21,16,16,19,20,21,16,21,20,20,21,20,16
194,161,139,115,93,80,71,58,56,42,38,33,34,31,32,27,23,25,24,19,21,23,20,19,23,18,19,23,22,18,22,23,21,20,17,18,20,18,23,19,18,19,22,21,20,16,21,17,17,22,18,22,22,20,16,22,17,17,21,17,20,20,17,19,17,20,16,19,19,16,16,15,18,17,18,17,22,20,18,21,16,16,16,16,20,16,19,17,16,16,20,21,19,15,17,18,16,15,17,20,20,15,17,18,17,16,18,17,17,20,20,17,16,15,20,16,21,16,21,21,20,20,20,19,20,19,16,15,20,19,15,17,22,22,21,17,20,16,17,20,16,19,21,18,20,19,20,21,21,20,16,19,17,16,17,20,16,16,17,19,21,16,21,16,19,19,16,20,16,19,20,19,18,20,16,16,19,20,19,16,20,18,16,18,15,19,19,15,16,22,19,20,18,18,19,19,15,20,16,16,15,16,16,20,19,18,14,20,19,17,19,20,14,19,16,16,17,22,17,21,20,21,21,17,20,20,16,17,16,20,16,21,21,16,16,16,16,16,20,19,17,19,17,20,16,21,21,19,20,19,16,20,16,16,17,16
197,166,136,111,93,80,69,63,50,44,39,40,31,31,27,26,27,27,24,21,20,23,22,23,23,21,17,22,21,22,17,21,19,17,21,22,21,22,18,17,18,21,21,17,22,18,17,22,17,22,18,21,18,21,17,21,20,20,15,16,17,18,18,19,19,20,15,20,19,16,18,18,18,18,14,15,17,16,20,18,14,17,16,19,15,17,20,15,16,18,20,16,16,20,19,19,19,16,18,19,19,17,13,18,15,20,15,20,20,19,16,16,20,16,16,19,20,16,15,18,17,17,18,20,20,21,17,22,21,22,21,16,20,17,16,17,16,20,21,20,20,17,17,18,18,21,19,22,22,22,17,18,23,21,19,17,21,21,20,16,19,16,20,19,19,15,20,20,19,16,19,19,16,17,15,20,16,16,19,20,18,20,19,15,16,20,15,21,17,21,21,16,19,15,21,16,17,21,20,16,20,19,19,19,15,16,19,15,16,20,16,16,16,17,20,18,21,17,17,20,20,16,20,20,16,18,18,18,18,20,23,18,19,22,18,22,20,19,18,24,17,19,18,22,22,22,19,17,21,21,18,17,22,21,18,19
196,163,132,111,96,81,66,61,52,43,41,33,30,31,27,29,24,24,22,27,21,26,21,23,24,19,19,18,17,18,22,18,19,18,22,18,19,19,23,22,18,23,22,21,17,21,18,20,15,21,18,21,20,16,20,19,16,16,19,20,19,19,13,14,19,19,16,14,19,20,21,19,14,19,19,19,15,20,14,19,15,16,18,19,16,16,19,18,17,15,19,15,15,18,17,18,21,21,16,16,21,19,17,15,16,16,20,19,14,20,16,19,15,19,16,16,15,21,16,21,20,20,15,20,19,17,20,20,20,16,16,20,20,17,19,16,20,16,19,16,18,15,16,16,17,21,20,22,20,21,21,16,15,16,17,20,16,20,16,16,19,16,16,16,16,17,16,20,15,20,20,19,15,16,20,19,19,18,18,18,14,15,19,17,14,19,19,19,14,19,15,18,20,18,16,20,16,19,18,15,15,16,17,16,15,16,15,18,22,18,21,18,17,17,21,18,21,17,17,17,20,18,21,16,21,17,21,20,17,16,20,20,16,15,17,20,17,17,21,20,16,20,16,19,16,16,16,15,17,17,20,20,19,14,16,20
